Where do you live (or spend most of your time)?,Which language(s) do you feel most comfortable speaking?,Do you identify as a member of the Blockstack community?,How long have you been a member of the community?,Which roles in the Blockstack community do you most strongly identify with?,What's your degree of involvement in *the Blockstack community?*,"What's your degree of involvement in *the blockchain/cryptocurrency space, in general?*",Do you hold STX tokens?,Which other cryptographic tokens do you hold?,What other blockchain/crypto communities do you consider yourself a member of?,How many [Blockstack dapps](https://app.co/blockstack) have you used?,What has been your involvement with [Blockstack dapps](https://app.co/blockstack)?,How have you/your team funded your Dapp project to date?,Have you attended (or watched recordings of) any of these community events? Which ones?,What is/are your primary resources for learning about the Blockstack platform and community?,What are the strengths of the Blockstack community and project? What are its weaknesses?,"In your opinion, what should be the *mission/vision* of the Blockstack project and community?",How well do you understand this mission/vision?,How aligned are you with this mission/vision?,"In your opinion, what are the *shared values* of the Blockstack project and community?",How aligned are you with these values?,What aspects of Blockstack governance have you previously participated in?,Are you interested in participating in governance?,What aspects of governance would you like to participate in?,Do you feel there have been any obstacles that have prevented you from participating in governance?,What limits you from participating in governance today?,How much do you trust the core developers to make technical decisions in the best interest of the protocol?,Who should be in charge of Stacks governance?,Do you support [on chain governance?](https://messari.io/article/on-chain-governance),What challenges (if any) do you see with the _existing governance_ of the Blockstack project and platform?,Do you believe STX tokenholders should participate in Stacks governance?,In what capacity do you believe STX tokenholders should participate in governance?,Which other groups should participate in governance? Why? In what capacity?,Are there any groups that you feel should be _excluded_ from participation in governance? Why?,"In your view, what is the mission of Blockstack PBC?",How well do you understand the mission of Blockstack PBC?,How much do you care about the mission of Blockstack PBC?,Do you trust Blockstack PBC to make decisions in the best interest of the protocol/community?,"Generally, how do you feel about the output or productivity of Blockstack PBC?",Do you feel that Blockstack PBC’s decision making process is clear and transparent?,What should be the future role of Blockstack PBC in governance?,"Do you feel it's a good idea to create a new, independent entity responsible for governance?",What form do you feel this entity should take?,What role should this independent entity play in platform/community governance?,How should it be funded?,What role should the community play in the governance of the entity? Any other thoughts?,What else should we have asked?,Any final thoughts?,In what capacity do you believe STX tokenholders should participate in governance?,Which language(s) do you feel most comfortable speaking?,What is/are your primary resources for learning about the Blockstack platform and community?,What form do you feel this entity should take?,Token
United States,,Yes!,1,"Stacker (prospective), Community member, Investor, User",New/still learning,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH)",Bitcoin,None yet,"User, Investor",,"STX holder calls, Blockstack summit",,"Communication strength, demonstration of utility of apps weakness",application utility and supporting bitcoin ecosystem,4,5,open communication,5,Haven't participated,"Yes, technical governance only",Forum/chat,Not sure,"I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough, I don't work for Blockstack",5,STX tokenholders (plutocracy),I'm not informed enough about it,Not a community decision,,,??,??,Make a new architecture for the internet where users control their data,4,5,5,4,5,"Events, Education, Manage token treasury, Lobbying, Legal work, Marketing/awareness, Core development, Grant funding",Maybe,,"Events, Education",Endowment from PBC,No thoughts,,,"Non-binding voting (i.e., signaling)",English,"Discord/Telegram/WeChat, Podcasts, Newsletters, Blockstack Forum, Blockstack Blog",Co-operative,djkykk44gte7djk3ix4sdf9uae2bby3i
United Kingdom,,Yes!,1,"User, Community member",New/still learning,New/still learning,Yes,No others,None,More than 10,User,,"Working group calls, Webinars",,Strength: Ideals. Weakness: Technical boundary.,Focus on community (more so than privacy),4,4,"Privacy, Community, anti-surveillance",6,listened in on calls,"Yes, political/economic governance only","Working group calls, Forum/chat",Yes,I am not a developer,3,Everyone (democracy),Not sure/Don't care,,,,non-technical users,,"To create a user-owned internet where people can communicate and share information and ideas without being monitored, exploited for financial gain of corporations and or censored.",6,6,3,4,3,"Education, Core development, Legal work, Manage token treasury, App Mining",Yes,,"Education, Grant funding, Marketing/awareness, Lobbying","Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward",It should be easy for members of the community to take part in governance procedures.,,I think it is important to involve artists and visual designers in the Blockstack community.,"Non-binding voting (i.e., signaling)",English,"Blockstack Blog, Blockstack Forum, Discord/Telegram/WeChat, Calls or events, Newsletters","Non-profit foundation/association, Co-operative",zqnhtc41yfhfc9vzqna2ly0t6by7idrd
Uruguay,,Yes!,1,"Product/Product Manager, User, Investor",New/still learning,Full-time (paid work),No,No others,"Bitcoin, Ethereum, Ripple, Tezos, Cosmos, Stellar",None yet,"None, User",,"Local meetups, Webinars, Workshops, Working group calls, Blockstack summit",,Strengths: how are being organized; Weakness: availability of real applications (would like to see more!),Find real applications,3,5,,,Haven't participated,"No, I don't want to participate in governance",,No,,4,Everyone (democracy),Yes,,,,,,,,,,,,,,,,,,,,Not sure/don't care,English,"Newsletters, Meetups, Technical articles, Calls or events, Blockstack Blog",,nlkn7kl8k1eueh3yenlkn7k6fc1bt630
United States,,I'm not sure,1,"Product/Product Manager, Blockstack Evangelist, User, Community member, Community leader, App Founder, Stacker (prospective), Working group member",New/still learning,Full-time (paid work),No,"Bitcoin (BTC), Ether (ETH), Tezos (XTZ)","Ethereum, Bitcoin",2,User,,Working group calls,,"Strengths = User experience, novelty, & mission. 
Weakness = Small community","Create an incentive-aligned, privacy-preserving, user-owned, and easy-to-use internet",4,6,See my previous answer,6,Haven't participated,"Yes, political/economic governance only","Working group calls, Forum/chat, Author SIPs, Review SIPs",Not sure,"I don't have enough time, I don't feel informed enough about Blockstack, I am not a developer",3,STX tokenholders (plutocracy),Yes,"Centralization, lack of users, failure to deliver on mission",,,It depends on the scale of the platform,n/a,Build Blockstack until there is enough user community engagement to take it ove,3,4,4,4,3,"Lobbying, Marketing/awareness, App Mining, Events, Legal work, Education, Grant funding",Maybe,,"Lobbying, Marketing/awareness, Events, Grant funding, App Mining, Education, Legal work","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC, Optional fees attached to payments/transactions, Donations/charity",Plutocracy,"Area to sign up to your newsletter, likelihood to participate in community/protocol development, what company I currently work with, my title, and what motivates me about the blockchain industry",Thanks,"Binding voting (i.e., on-chain governance)",English,"Newsletters, Technical articles, Discord/Telegram/WeChat, Blockstack Blog",Non-profit foundation/association,e9x83c05xvk8r2kh5ze9x83ck751r4g5
United States,,I'm not sure,2,User,Not involved,hodler af,No,Prefer not to answer,Bitcoin,2,User,,"Local meetups, Webinars",,,decentralize and burn down the legacy system,3,6,IDK... but I do know you're decentralists and respect BTC,6,Participated in community discussion,Not sure/Don't really understand governance,Forum/chat,Yes,"I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough, I am not a developer, I don't work for Blockstack",3,tokenholders + something akin to node runners. Avoid B-E at all costs.,Yes,don't know enough about it to comment seriously,,,"skin in the game: token holders/users/node runners, etc., only.","politicians, bureucrats, wall st goons, and VCs, unless they have bonafide skin in game and accept on-chain decentralized governance like everyone else. obvious reasons why",To not be evil,1,2,3,3,2,"Education, Grant funding, Core development",Maybe,,"Education, Grant funding, Manage token treasury","Endowment from PBC, Optional fees attached to payments/transactions",the right to exit if you fuck it up,IDK,"good luck, we're all counting on you. Don't be evil douchebags and you should be okay.","Binding voting (i.e., on-chain governance)",English,"Calls or events, Meetups, tinker with dapps","No legal entity, open source, def not A or B get away from corporate mentality and structures",vfx7estvptxs653etby5i3vfx7esczrx
North America,,Yes!,3,,,,,"Tezos (XTZ), Bitcoin Cash (BCH)",dd,2,Builder/Paid contributor,,STX holder calls,Calls or events,more utility.,,2,2,internet freedom.,,Contributed to a SIP,,Author SIPs,,"I don't know where/how to, but I would",,,,,,,,,,,,,,,,,,,,,,,,,,,2k2o8getdg8v96h80p5z2k2oow5cgral
United States,,I'm not sure,1,"User, Developer, Working group member, Researcher, Community leader/evangelist, Community member, Hacker",Hobbyist (unpaid),Full-time (paid work),Prefer not to answer,Don't own any,None,6-10,User,,"Working group calls, Blockstack summit",,Lots of good people!,"Openness
Transparent",3,3,Many things,1,"Haven't participated, Participated in community discussion","Yes, technical governance only",None,Yes,"I don't want to, I don't have enough time",5,"STX tokenholders (plutocracy), One leader (autocracy)",Yes,,,,,,Doing stuff,2,5,6,5,5,"Core development, Grant funding",Yes,Non-profit foundation/association,"App Mining, Grant funding","Donations/charity, Endowment from PBC",Lots,Mope,Yes!,"Non-binding voting (i.e., signaling)",English,"Meetups, Newsletters, Blockstack Blog",,uefzlotinje8d3auefgojv5ac3mhspau
United States,,Yes!,2,Community leader,Hobbyist,Part-time (paid work),Yes,Ether (ETH),None,More than 10,"Founder, User",Bootstrap (self-funded),"Working group calls, STX holder calls, Blockstack summit, Local meetups",,Blockstack is THA BEST,People first,4,4,Decentralization,4,Haven't participated,"Yes, all aspects of governance",Working group calls,Yes,I don't feel that my perspective is valued,3,STX tokenholders (plutocracy),Yes,KYC,,,Everyone should,Trolls,Provide tools for devs who care about decentralization,5,5,4,4,3,Grant funding,Yes,,"Legal work, Lobbying, Manage token treasury","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC",Elected Officials,na,na,"Binding voting (i.e., on-chain governance)",English,Discord/Telegram/WeChat,Non-profit foundation/association,q1558o8yiae3brwlqq15585f56qr06sr
Chile,,Yes!,1,"Developer, App Founder, Working group member, Blockstack Evangelist, User",Part-time (paid work),Part-time (paid work),Prefer not to answer,Bitcoin (BTC),Ethereum,1,"User, Builder/Paid contributor",Bootstrap (self-funded),"Working group calls, Webinars, Developer updates, Workshops",,Stregths : advanced in blockchain tech. WEAKNESSES: weak app develop,Environment for private and secure business.,3,6,Data security,5,"Joined a working group call, Contributed code",Not sure/Don't really understand governance,"Forum/chat, Review SIPs",Not sure,"I don't have enough time, I don't understand Blockstack governance well enough",4,A few trusted people (oligarchy),I'm not informed enough about it,,,,Commercial group.,,,3,3,3,3,3,"Lobbying, Education",Yes,,"Education, Events, Marketing/awareness, Lobbying, Grant funding",Endowment from PBC,,,"I think we  are getting ahead, but we need to generate
income with the apps.",Not sure/don't care,Spanish,"Technical articles, GitHub, other code/developer resources, Blockstack Blog",Non-profit foundation/association,f8wxmx88szycchy7ifytogs4jf8wxmvr
Singapore,,Yes!,3,"Community member, Stacker (prospective), Investor, Blockstack Evangelist, Working group member, User",New/still learning,New/still learning,Yes,"Bitcoin (BTC), Ripple (XRP), Ether (ETH), Bitcoin Cash (BCH)",None,3-5,User,,"Working group calls, Webinars",,Strong group of core community members to keep the community going and instill it with the right culture. Weakness: other stakeholders may be underrepresented due to the core group of  community members,An alternative To the centralized platform of apps,5,5,"Privacy, proper governance, representing every stakeholders",5,"Joined a working group call, Participated in community discussion","Yes, all aspects of governance","Working group calls, Forum/chat, Author SIPs, Review SIPs",No,,5,STX tokenholders (plutocracy),I'm not informed enough about it,"Centralized governance, may not be a challenge now, but as it scale could potentially be a limiting factor",,,All other stakeholders of blockstack,Non stakeholders of blockstack,To create a decentralized dapps platform,5,5,5,4,4,"Education, Core development, Manage token treasury",Yes,,"Legal work, Education, Manage token treasury",Endowment from PBC,An independent entity to ensure governance are adhered to,N/A,N/A,Not sure/don't care,English,"Blockstack Forum, Discord/Telegram/WeChat",Not sure/Don't care,vpv52hqr9tfgwp6f2vpv52nhe989a2wn
